Industry,Skill Set,Skill,Skill Type,,,,
Marketing,Soft Skill,SF,Team Player,,,,
Marketing,Programming/Technical,HS,Database Management,,,,
Marketing,Programming/Technical,HS,Java,,,,
Marketing,Programming/Technical,HS,SPSS,,,,
Marketing,Programming/Technical,HS,SAS,,,,
Marketing,Programming/Technical,HS,STATA,,,,
Marketing,Programming/Technical,HS,C++,,,,
Marketing,Programming/Technical,HS,R,,,,
Marketing,Programming/Technical,HS,Predictive Anaytics,,,,
Marketing,Soft Skill,SS,Good Communication,,,,
Marketing,Programming/Technical,HS,Build Machine Learning Models,,,,
Marketing,Mathematics,MAT,Build Statisical Learning Models,,,,
Marketing,Programming/Technical,HS,Attribution Modeling,,,,
Marketing,Programming/Technical,HS,Build Machine Learning Models,,,,
Marketing,Mathematics,MAT,Build Statisical Learning Models,,,,
Marketing,Soft Skill,SS,Problem Solving Skills,,,,
Marketing,Soft Skill,SS,Good Communication,,,,
Marketing,Programming/Technical,PR,Build Machine Learning Models,,,,
Marketing,Soft Skill,SS,Team Player,,,,
Marketing,Mathematics,MAT,Build Statisical Learning Models,,,,
Marketing,Programming/Technical,PR,Build Quantitative Models,,,,
Marketing,Programming/Technical,PR,Database Management,,,,
Marketing,Soft Skill,SS,Good Communication,,,,
Marketing,Programming/Technical,PR,R,,,,
Marketing,Programming/Technical,PR,R,,,,
Marketing,Programming/Technical,PR,Predictive Anaytics,,,,
Marketing,Programming/Technical,PR,Build Quantitative Models,,,,
Marketing,Programming/Technical,PR,SAS,,,,
Marketing,Soft Skill,SS,Motivated,,,,
Marketing,Programming/Technical,PR,SQL,,,,
Marketing,Mathematics,MAT,Mathematics,,,,
Marketing,Programming/Technical,PR,Predictive Anaytics,,,,
Marketing,Programming/Technical,PR,Hadoop,,,,
Marketing,Business,BU,Designing Experiments,,,,
Marketing,Mathematics,MAT,MATLAB,,,,
Marketing,Programming/Technical,PR,Python,,,,
Marketing,Programming/Technical,PR,SQL,,,,
Marketing,Programming/Technical,PR,SPSS,,,,
Marketing,Soft Skill,SF,Highly Analytical,,,,
Marketing,Programming/Technical,PR,Tableau,,,,
Marketing,Programming/Technical,PR,Predictive Anaytics,,,,
Marketing,Programming/Technical,PR,Python,,,,
Marketing,Programming/Technical,PR,Build Statisical Learning Models,,,,
Marketing,Programming/Technical,PR,Pandas,,,,
Marketing,Programming/Technical,PR,SAS,,,,
Marketing,Programming/Technical,PR,MongoDB,,,,
Marketing,Programming/Technical,PR,R,,,,
Marketing,Programming/Technical,PR,SQL,,,,
Marketing,Programming/Technical,PR,SQL,,,,
Marketing,Programming/Technical,PR,Build Statisical Learning Models,,,,
Marketing,Programming/Technical,PR,Predictive Anaytics,,,,
Marketing,Programming/Technical,PR,SQL,,,,
Marketing,Programming/Technical,PR,Hive,,,,
Marketing,Programming/Technical,PR,SQL,,,,
Marketing,Soft Skill,SS,Good Communication,,,,
Marketing,Programming/Technical,PR,SAS,,,,
Marketing,Programming/Technical,PR,MongoDB,,,,
Marketing,Programming/Technical,PR,SQL,,,,
Marketing,Programming/Technical,PR,Hadoop,,,,
Marketing,Mathematics,MAT,Applied Math,,,,
Marketing,Programming/Technical,PR,Python,,,,
Marketing,Programming/Technical,PR,Tableau,,,,
Marketing,Programming/Technical,PR,Python,,,,
Marketing,Business,BU,Develop KPIs,,,,
Marketing,Programming/Technical,PR,R ,,,,
Marketing,Programming/Technical,PR,Hadoop,,,,
Marketing,Programming/Technical,PR,Hadoop,,,,
Marketing,Programming/Technical,PR,Spark,,,,
Marketing,Business,BU,Project Management,,,,
Marketing,Mathematics,MAT,Statisical Learning Models,,,,
Marketing,Programming/Technical,PR,Machine Learning Models,,,,
